  0%|          | 0/1801 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 3.2971, 'grad_norm': 22.449863990439336, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.3456, 'grad_norm': 22.53439201615311, 'learning_rate': 1.818181818181818e-08, 'epoch': 0.0}
{'loss': 3.2833, 'grad_norm': 24.286082457297564, 'learning_rate': 3.636363636363636e-08, 'epoch': 0.0}
{'loss': 3.2517, 'grad_norm': 22.033685167140764, 'learning_rate': 5.454545454545454e-08, 'epoch': 0.0}
{'loss': 3.1931, 'grad_norm': 24.199767596777683, 'learning_rate': 7.272727272727273e-08, 'epoch': 0.0}
{'loss': 3.3182, 'grad_norm': 24.62115280674817, 'learning_rate': 9.09090909090909e-08, 'epoch': 0.0}
{'loss': 3.1171, 'grad_norm': 24.11363689157022, 'learning_rate': 1.0909090909090908e-07, 'epoch': 0.0}
{'loss': 3.2515, 'grad_norm': 24.15235749628998, 'learning_rate': 1.2727272727272726e-07, 'epoch': 0.0}
{'loss': 3.215, 'grad_norm': 23.151075573935568, 'learning_rate': 1.4545454545454545e-07, 'epoch': 0.0}
{'loss': 3.2578, 'grad_norm': 23.63322831441448, 'learning_rate': 1.6363636363636364e-07, 'epoch': 0.01}
{'loss': 3.2131, 'grad_norm': 24.8740654766777, 'learning_rate': 1.818181818181818e-07, 'epoch': 0.01}
{'loss': 3.1455, 'grad_norm': 23.09059095184068, 'learning_rate': 2e-07, 'epoch': 0.01}
{'loss': 3.2233, 'grad_norm': 23.842745784541854, 'learning_rate': 2.1818181818181815e-07, 'epoch': 0.01}
{'loss': 3.2266, 'grad_norm': 21.71078243100303, 'learning_rate': 2.3636363636363634e-07, 'epoch': 0.01}
{'loss': 3.1379, 'grad_norm': 21.98799684607705, 'learning_rate': 2.5454545454545453e-07, 'epoch': 0.01}
{'loss': 3.1092, 'grad_norm': 20.262821944061336, 'learning_rate': 2.727272727272727e-07, 'epoch': 0.01}
{'loss': 3.1842, 'grad_norm': 19.6528866273276, 'learning_rate': 2.909090909090909e-07, 'epoch': 0.01}
{'loss': 3.1623, 'grad_norm': 19.728179782260924, 'learning_rate': 3.0909090909090907e-07, 'epoch': 0.01}
{'loss': 3.144, 'grad_norm': 19.173395742317542, 'learning_rate': 3.272727272727273e-07, 'epoch': 0.01}
{'loss': 3.1105, 'grad_norm': 19.96177939391559, 'learning_rate': 3.4545454545454544e-07, 'epoch': 0.01}
{'loss': 3.2394, 'grad_norm': 17.797359364685928, 'learning_rate': 3.636363636363636e-07, 'epoch': 0.01}
{'loss': 3.2087, 'grad_norm': 17.484333941507323, 'learning_rate': 3.818181818181818e-07, 'epoch': 0.01}
{'loss': 3.0903, 'grad_norm': 16.00397358689775, 'learning_rate': 4e-07, 'epoch': 0.01}
{'loss': 3.043, 'grad_norm': 16.69580382811496, 'learning_rate': 4.1818181818181814e-07, 'epoch': 0.01}
{'loss': 3.0389, 'grad_norm': 15.864347514904145, 'learning_rate': 4.363636363636363e-07, 'epoch': 0.01}
{'loss': 3.0326, 'grad_norm': 17.423780841897372, 'learning_rate': 4.545454545454545e-07, 'epoch': 0.01}
{'loss': 3.0191, 'grad_norm': 16.384852369450652, 'learning_rate': 4.727272727272727e-07, 'epoch': 0.01}
{'loss': 3.0825, 'grad_norm': 15.719271303248156, 'learning_rate': 4.909090909090909e-07, 'epoch': 0.02}
{'loss': 3.0395, 'grad_norm': 14.801547395545413, 'learning_rate': 5.090909090909091e-07, 'epoch': 0.02}
{'loss': 2.9858, 'grad_norm': 20.442079540618387, 'learning_rate': 5.272727272727272e-07, 'epoch': 0.02}
{'loss': 2.7867, 'grad_norm': 17.922667686317386, 'learning_rate': 5.454545454545454e-07, 'epoch': 0.02}
{'loss': 2.8293, 'grad_norm': 14.959521644625399, 'learning_rate': 5.636363636363635e-07, 'epoch': 0.02}
{'loss': 2.7439, 'grad_norm': 11.162889145187869, 'learning_rate': 5.818181818181818e-07, 'epoch': 0.02}
{'loss': 2.7346, 'grad_norm': 9.803283860693186, 'learning_rate': 6e-07, 'epoch': 0.02}
{'loss': 2.7514, 'grad_norm': 9.66201713474775, 'learning_rate': 6.181818181818181e-07, 'epoch': 0.02}
{'loss': 2.6872, 'grad_norm': 9.412501134905945, 'learning_rate': 6.363636363636363e-07, 'epoch': 0.02}
{'loss': 2.681, 'grad_norm': 9.294491233024665, 'learning_rate': 6.545454545454546e-07, 'epoch': 0.02}
{'loss': 2.6855, 'grad_norm': 8.556586598196978, 'learning_rate': 6.727272727272727e-07, 'epoch': 0.02}
{'loss': 2.6758, 'grad_norm': 8.77590174851539, 'learning_rate': 6.909090909090909e-07, 'epoch': 0.02}
{'loss': 2.7163, 'grad_norm': 9.378515666966994, 'learning_rate': 7.09090909090909e-07, 'epoch': 0.02}
{'loss': 2.6276, 'grad_norm': 8.438025303719806, 'learning_rate': 7.272727272727272e-07, 'epoch': 0.02}
{'loss': 2.5853, 'grad_norm': 6.981278139185524, 'learning_rate': 7.454545454545455e-07, 'epoch': 0.02}
{'loss': 2.5287, 'grad_norm': 7.624370258777005, 'learning_rate': 7.636363636363636e-07, 'epoch': 0.02}
{'loss': 2.5341, 'grad_norm': 8.103136135752916, 'learning_rate': 7.818181818181818e-07, 'epoch': 0.02}
{'loss': 2.5404, 'grad_norm': 8.989083516261736, 'learning_rate': 8e-07, 'epoch': 0.02}
{'loss': 2.5101, 'grad_norm': 9.00464032564371, 'learning_rate': 8.181818181818182e-07, 'epoch': 0.03}
{'loss': 2.4255, 'grad_norm': 8.751799753973684, 'learning_rate': 8.363636363636363e-07, 'epoch': 0.03}
{'loss': 2.3997, 'grad_norm': 7.914447966541362, 'learning_rate': 8.545454545454544e-07, 'epoch': 0.03}
{'loss': 2.4382, 'grad_norm': 7.278180142224035, 'learning_rate': 8.727272727272726e-07, 'epoch': 0.03}
{'loss': 2.5015, 'grad_norm': 6.701857487952957, 'learning_rate': 8.909090909090909e-07, 'epoch': 0.03}
{'loss': 2.3891, 'grad_norm': 5.9941929279161466, 'learning_rate': 9.09090909090909e-07, 'epoch': 0.03}
{'loss': 2.3639, 'grad_norm': 5.936519928552243, 'learning_rate': 9.272727272727272e-07, 'epoch': 0.03}
{'loss': 2.4126, 'grad_norm': 5.928015302182252, 'learning_rate': 9.454545454545454e-07, 'epoch': 0.03}
{'loss': 2.3147, 'grad_norm': 5.480473416160903, 'learning_rate': 9.636363636363636e-07, 'epoch': 0.03}
{'loss': 2.3063, 'grad_norm': 5.074867782549563, 'learning_rate': 9.818181818181818e-07, 'epoch': 0.03}
{'loss': 2.2732, 'grad_norm': 5.593222105312381, 'learning_rate': 1e-06, 'epoch': 0.03}
{'loss': 2.2532, 'grad_norm': 5.682803575427228, 'learning_rate': 9.999991906224424e-07, 'epoch': 0.03}
{'loss': 2.3772, 'grad_norm': 5.2444014430840715, 'learning_rate': 9.999967624923896e-07, 'epoch': 0.03}
{'loss': 2.3053, 'grad_norm': 4.931169795813583, 'learning_rate': 9.999927156177031e-07, 'epoch': 0.03}
{'loss': 2.2741, 'grad_norm': 5.265068169120724, 'learning_rate': 9.999870500114847e-07, 'epoch': 0.03}
{'loss': 2.1913, 'grad_norm': 4.921011845137195, 'learning_rate': 9.999797656920765e-07, 'epoch': 0.03}
{'loss': 2.2432, 'grad_norm': 4.954648919447958, 'learning_rate': 9.999708626830617e-07, 'epoch': 0.03}
{'loss': 2.2926, 'grad_norm': 4.732758925359427, 'learning_rate': 9.999603410132639e-07, 'epoch': 0.03}
{'loss': 2.2144, 'grad_norm': 4.671688697530719, 'learning_rate': 9.999482007167473e-07, 'epoch': 0.04}
{'loss': 2.2049, 'grad_norm': 4.652461748249153, 'learning_rate': 9.99934441832816e-07, 'epoch': 0.04}
{'loss': 2.1409, 'grad_norm': 4.582555695419976, 'learning_rate': 9.999190644060147e-07, 'epoch': 0.04}
{'loss': 2.1312, 'grad_norm': 4.979048545819641, 'learning_rate': 9.999020684861277e-07, 'epoch': 0.04}
{'loss': 2.1301, 'grad_norm': 5.164516262604054, 'learning_rate': 9.998834541281797e-07, 'epoch': 0.04}
{'loss': 2.162, 'grad_norm': 4.56948905168512, 'learning_rate': 9.998632213924349e-07, 'epoch': 0.04}
{'loss': 2.1426, 'grad_norm': 4.536280479136593, 'learning_rate': 9.99841370344397e-07, 'epoch': 0.04}
{'loss': 2.0972, 'grad_norm': 4.396491960741112, 'learning_rate': 9.998179010548087e-07, 'epoch': 0.04}
{'loss': 2.0952, 'grad_norm': 4.096914771914856, 'learning_rate': 9.997928135996523e-07, 'epoch': 0.04}
{'loss': 2.0949, 'grad_norm': 3.671344599568968, 'learning_rate': 9.997661080601487e-07, 'epoch': 0.04}
{'loss': 2.0861, 'grad_norm': 3.8547143962820294, 'learning_rate': 9.997377845227574e-07, 'epoch': 0.04}
{'loss': 2.1002, 'grad_norm': 3.731339755791976, 'learning_rate': 9.99707843079176e-07, 'epoch': 0.04}
{'loss': 2.0873, 'grad_norm': 3.8453135328169568, 'learning_rate': 9.996762838263401e-07, 'epoch': 0.04}
{'loss': 2.0216, 'grad_norm': 4.275604974426212, 'learning_rate': 9.996431068664237e-07, 'epoch': 0.04}
{'loss': 2.0855, 'grad_norm': 3.712630819274958, 'learning_rate': 9.996083123068368e-07, 'epoch': 0.04}
{'loss': 2.0563, 'grad_norm': 3.794292772155059, 'learning_rate': 9.995719002602276e-07, 'epoch': 0.04}
{'loss': 1.9846, 'grad_norm': 4.042134270571139, 'learning_rate': 9.995338708444802e-07, 'epoch': 0.04}
