  0%|          | 0/3602 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 3.2365, 'grad_norm': 24.14102005697424, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.2608, 'grad_norm': 26.013481849393955, 'learning_rate': 9.174311926605505e-09, 'epoch': 0.0}
{'loss': 3.1772, 'grad_norm': 23.831214002682024, 'learning_rate': 1.834862385321101e-08, 'epoch': 0.0}
{'loss': 3.2538, 'grad_norm': 23.027811636494057, 'learning_rate': 2.7522935779816516e-08, 'epoch': 0.0}
{'loss': 3.2796, 'grad_norm': 25.46610785949251, 'learning_rate': 3.669724770642202e-08, 'epoch': 0.0}
{'loss': 3.361, 'grad_norm': 23.71488006396845, 'learning_rate': 4.587155963302752e-08, 'epoch': 0.0}
{'loss': 3.2411, 'grad_norm': 26.47266807133358, 'learning_rate': 5.504587155963303e-08, 'epoch': 0.0}
{'loss': 3.2844, 'grad_norm': 24.21419464531076, 'learning_rate': 6.422018348623853e-08, 'epoch': 0.0}
{'loss': 3.3132, 'grad_norm': 23.877753811762616, 'learning_rate': 7.339449541284404e-08, 'epoch': 0.0}
{'loss': 3.275, 'grad_norm': 25.013568270636505, 'learning_rate': 8.256880733944954e-08, 'epoch': 0.01}
{'loss': 3.2482, 'grad_norm': 24.117825803661795, 'learning_rate': 9.174311926605505e-08, 'epoch': 0.01}
{'loss': 3.2138, 'grad_norm': 23.306715009504707, 'learning_rate': 1.0091743119266055e-07, 'epoch': 0.01}
{'loss': 3.2338, 'grad_norm': 25.01545575690362, 'learning_rate': 1.1009174311926606e-07, 'epoch': 0.01}
{'loss': 3.2403, 'grad_norm': 25.778082003226842, 'learning_rate': 1.1926605504587156e-07, 'epoch': 0.01}
{'loss': 3.2645, 'grad_norm': 23.98621342126189, 'learning_rate': 1.2844036697247705e-07, 'epoch': 0.01}
{'loss': 3.224, 'grad_norm': 22.95788538271424, 'learning_rate': 1.3761467889908257e-07, 'epoch': 0.01}
{'loss': 3.2518, 'grad_norm': 22.613476334143627, 'learning_rate': 1.4678899082568808e-07, 'epoch': 0.01}
{'loss': 3.2569, 'grad_norm': 22.988699205111537, 'learning_rate': 1.5596330275229357e-07, 'epoch': 0.01}
{'loss': 3.2544, 'grad_norm': 23.88660733550862, 'learning_rate': 1.6513761467889909e-07, 'epoch': 0.01}
{'loss': 3.1377, 'grad_norm': 23.041104980753516, 'learning_rate': 1.743119266055046e-07, 'epoch': 0.01}
{'loss': 3.187, 'grad_norm': 23.574522592704152, 'learning_rate': 1.834862385321101e-07, 'epoch': 0.01}
{'loss': 3.1638, 'grad_norm': 22.74854689248904, 'learning_rate': 1.926605504587156e-07, 'epoch': 0.01}
{'loss': 3.1473, 'grad_norm': 19.495659028229305, 'learning_rate': 2.018348623853211e-07, 'epoch': 0.01}
{'loss': 3.2016, 'grad_norm': 19.986522812752103, 'learning_rate': 2.110091743119266e-07, 'epoch': 0.01}
{'loss': 3.1941, 'grad_norm': 20.983881860493316, 'learning_rate': 2.2018348623853212e-07, 'epoch': 0.01}
{'loss': 3.2269, 'grad_norm': 20.069098519881397, 'learning_rate': 2.293577981651376e-07, 'epoch': 0.01}
{'loss': 3.2022, 'grad_norm': 20.968994529979916, 'learning_rate': 2.3853211009174313e-07, 'epoch': 0.01}
{'loss': 3.1838, 'grad_norm': 19.34781499676562, 'learning_rate': 2.477064220183486e-07, 'epoch': 0.02}
