  0%|          | 0/1801 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 3.2111, 'grad_norm': 22.45192315575865, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.2363, 'grad_norm': 23.652075494817844, 'learning_rate': 1.8181818181818183e-07, 'epoch': 0.0}
{'loss': 3.2064, 'grad_norm': 23.11105502099906, 'learning_rate': 3.6363636363636366e-07, 'epoch': 0.0}
{'loss': 3.2438, 'grad_norm': 22.676031471792104, 'learning_rate': 5.454545454545455e-07, 'epoch': 0.0}
{'loss': 3.1961, 'grad_norm': 22.73421991857447, 'learning_rate': 7.272727272727273e-07, 'epoch': 0.0}
{'loss': 3.284, 'grad_norm': 24.796416063963925, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.0}
{'loss': 3.1884, 'grad_norm': 20.092614648457417, 'learning_rate': 1.090909090909091e-06, 'epoch': 0.0}
{'loss': 3.1608, 'grad_norm': 17.722180380859996, 'learning_rate': 1.2727272727272728e-06, 'epoch': 0.0}
{'loss': 2.9915, 'grad_norm': 16.164446166558054, 'learning_rate': 1.4545454545454546e-06, 'epoch': 0.0}
{'loss': 3.0866, 'grad_norm': 16.51759955029121, 'learning_rate': 1.6363636363636365e-06, 'epoch': 0.01}
{'loss': 2.8387, 'grad_norm': 16.685603962503162, 'learning_rate': 1.8181818181818183e-06, 'epoch': 0.01}
{'loss': 2.7575, 'grad_norm': 13.283558210804754, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.01}
{'loss': 2.6886, 'grad_norm': 10.135016887686803, 'learning_rate': 2.181818181818182e-06, 'epoch': 0.01}
{'loss': 2.62, 'grad_norm': 9.149576398584477, 'learning_rate': 2.363636363636364e-06, 'epoch': 0.01}
{'loss': 2.5956, 'grad_norm': 10.64691363287343, 'learning_rate': 2.5454545454545456e-06, 'epoch': 0.01}
{'loss': 2.5393, 'grad_norm': 11.885893650413358, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.01}
{'loss': 2.4824, 'grad_norm': 9.382004980018518, 'learning_rate': 2.9090909090909093e-06, 'epoch': 0.01}
{'loss': 2.2624, 'grad_norm': 8.408339037167478, 'learning_rate': 3.090909090909091e-06, 'epoch': 0.01}
{'loss': 2.3991, 'grad_norm': 6.92757538372237, 'learning_rate': 3.272727272727273e-06, 'epoch': 0.01}
{'loss': 2.2873, 'grad_norm': 5.923011388626725, 'learning_rate': 3.454545454545455e-06, 'epoch': 0.01}
{'loss': 2.217, 'grad_norm': 5.793754437628489, 'learning_rate': 3.6363636363636366e-06, 'epoch': 0.01}
{'loss': 2.3079, 'grad_norm': 6.67538666482964, 'learning_rate': 3.818181818181819e-06, 'epoch': 0.01}
{'loss': 2.1709, 'grad_norm': 6.998923463259223, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.01}
{'loss': 2.1092, 'grad_norm': 5.865718621841772, 'learning_rate': 4.181818181818182e-06, 'epoch': 0.01}
{'loss': 2.111, 'grad_norm': 5.557692115172164, 'learning_rate': 4.363636363636364e-06, 'epoch': 0.01}
{'loss': 2.0625, 'grad_norm': 5.215373753598923, 'learning_rate': 4.5454545454545455e-06, 'epoch': 0.01}
{'loss': 2.1298, 'grad_norm': 6.601846697458429, 'learning_rate': 4.727272727272728e-06, 'epoch': 0.01}
{'loss': 2.1105, 'grad_norm': 5.362392594654342, 'learning_rate': 4.90909090909091e-06, 'epoch': 0.02}
{'loss': 1.9969, 'grad_norm': 4.893985617895438, 'learning_rate': 5.090909090909091e-06, 'epoch': 0.02}
{'loss': 2.0442, 'grad_norm': 4.80819779187736, 'learning_rate': 5.272727272727273e-06, 'epoch': 0.02}
{'loss': 1.9183, 'grad_norm': 4.556380787377035, 'learning_rate': 5.4545454545454545e-06, 'epoch': 0.02}
{'loss': 1.9141, 'grad_norm': 4.820078190102758, 'learning_rate': 5.636363636363636e-06, 'epoch': 0.02}
{'loss': 1.9535, 'grad_norm': 4.259976915213566, 'learning_rate': 5.8181818181818185e-06, 'epoch': 0.02}
{'loss': 1.8998, 'grad_norm': 4.0490088579323915, 'learning_rate': 6e-06, 'epoch': 0.02}
{'loss': 1.8808, 'grad_norm': 4.498135771236508, 'learning_rate': 6.181818181818182e-06, 'epoch': 0.02}
{'loss': 1.8777, 'grad_norm': 3.780416207851989, 'learning_rate': 6.363636363636364e-06, 'epoch': 0.02}
{'loss': 1.8346, 'grad_norm': 3.7575001655523064, 'learning_rate': 6.545454545454546e-06, 'epoch': 0.02}
