  0%|          | 0/3602 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 3.2585, 'grad_norm': 25.208203128864135, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.2692, 'grad_norm': 25.742216581639056, 'learning_rate': 9.174311926605506e-08, 'epoch': 0.0}
{'loss': 3.281, 'grad_norm': 23.00488723625595, 'learning_rate': 1.8348623853211012e-07, 'epoch': 0.0}
{'loss': 3.2774, 'grad_norm': 24.98142679683029, 'learning_rate': 2.752293577981652e-07, 'epoch': 0.0}
{'loss': 3.3349, 'grad_norm': 25.711296474652798, 'learning_rate': 3.6697247706422023e-07, 'epoch': 0.0}
{'loss': 3.2018, 'grad_norm': 22.17743969913395, 'learning_rate': 4.587155963302753e-07, 'epoch': 0.0}
{'loss': 3.2178, 'grad_norm': 21.352196260243062, 'learning_rate': 5.504587155963304e-07, 'epoch': 0.0}
{'loss': 3.1704, 'grad_norm': 22.250942989737062, 'learning_rate': 6.422018348623854e-07, 'epoch': 0.0}
{'loss': 3.2088, 'grad_norm': 18.800789086126265, 'learning_rate': 7.339449541284405e-07, 'epoch': 0.0}
{'loss': 3.13, 'grad_norm': 18.858461687045146, 'learning_rate': 8.256880733944956e-07, 'epoch': 0.01}
{'loss': 3.1082, 'grad_norm': 16.17098602778837, 'learning_rate': 9.174311926605506e-07, 'epoch': 0.01}
{'loss': 3.0801, 'grad_norm': 15.84458717880238, 'learning_rate': 1.0091743119266057e-06, 'epoch': 0.01}
{'loss': 3.0081, 'grad_norm': 14.939754485986965, 'learning_rate': 1.1009174311926608e-06, 'epoch': 0.01}
{'loss': 2.9141, 'grad_norm': 15.192122377713218, 'learning_rate': 1.1926605504587159e-06, 'epoch': 0.01}
{'loss': 2.7119, 'grad_norm': 16.020627921823625, 'learning_rate': 1.2844036697247707e-06, 'epoch': 0.01}
{'loss': 2.7405, 'grad_norm': 12.790855678336454, 'learning_rate': 1.3761467889908258e-06, 'epoch': 0.01}
{'loss': 2.7433, 'grad_norm': 10.360353031764992, 'learning_rate': 1.467889908256881e-06, 'epoch': 0.01}
{'loss': 2.7325, 'grad_norm': 8.614453864113644, 'learning_rate': 1.559633027522936e-06, 'epoch': 0.01}
{'loss': 2.6551, 'grad_norm': 8.470014768802596, 'learning_rate': 1.6513761467889911e-06, 'epoch': 0.01}
{'loss': 2.5933, 'grad_norm': 7.593673986269383, 'learning_rate': 1.743119266055046e-06, 'epoch': 0.01}
{'loss': 2.4637, 'grad_norm': 12.521727581936917, 'learning_rate': 1.8348623853211011e-06, 'epoch': 0.01}
{'loss': 2.5165, 'grad_norm': 12.878498754995121, 'learning_rate': 1.9266055045871564e-06, 'epoch': 0.01}
{'loss': 2.4611, 'grad_norm': 9.462175161770977, 'learning_rate': 2.0183486238532113e-06, 'epoch': 0.01}
{'loss': 2.4453, 'grad_norm': 8.164678134849801, 'learning_rate': 2.110091743119266e-06, 'epoch': 0.01}
{'loss': 2.3341, 'grad_norm': 7.098645525162689, 'learning_rate': 2.2018348623853215e-06, 'epoch': 0.01}
{'loss': 2.337, 'grad_norm': 6.488179980105305, 'learning_rate': 2.2935779816513764e-06, 'epoch': 0.01}
{'loss': 2.3474, 'grad_norm': 6.349567046944642, 'learning_rate': 2.3853211009174317e-06, 'epoch': 0.01}
{'loss': 2.3257, 'grad_norm': 5.100896227027401, 'learning_rate': 2.4770642201834866e-06, 'epoch': 0.02}
{'loss': 2.2336, 'grad_norm': 5.855024117004799, 'learning_rate': 2.5688073394495415e-06, 'epoch': 0.02}
{'loss': 2.1746, 'grad_norm': 7.214573488287983, 'learning_rate': 2.6605504587155968e-06, 'epoch': 0.02}
{'loss': 2.2394, 'grad_norm': 6.1470314780241395, 'learning_rate': 2.7522935779816517e-06, 'epoch': 0.02}
{'loss': 2.2544, 'grad_norm': 5.9681830923422, 'learning_rate': 2.844036697247707e-06, 'epoch': 0.02}
{'loss': 2.1669, 'grad_norm': 5.050541498981102, 'learning_rate': 2.935779816513762e-06, 'epoch': 0.02}
{'loss': 2.2082, 'grad_norm': 4.552871079808639, 'learning_rate': 3.0275229357798168e-06, 'epoch': 0.02}
{'loss': 2.0756, 'grad_norm': 4.9874155810395635, 'learning_rate': 3.119266055045872e-06, 'epoch': 0.02}
{'loss': 2.047, 'grad_norm': 5.137659531030593, 'learning_rate': 3.211009174311927e-06, 'epoch': 0.02}
{'loss': 2.1289, 'grad_norm': 5.130674410314615, 'learning_rate': 3.3027522935779823e-06, 'epoch': 0.02}
{'loss': 1.9605, 'grad_norm': 4.805355098251968, 'learning_rate': 3.394495412844037e-06, 'epoch': 0.02}
{'loss': 1.9467, 'grad_norm': 4.370883385503757, 'learning_rate': 3.486238532110092e-06, 'epoch': 0.02}
{'loss': 1.9786, 'grad_norm': 4.666759902099699, 'learning_rate': 3.5779816513761473e-06, 'epoch': 0.02}
{'loss': 1.9645, 'grad_norm': 4.684942535028252, 'learning_rate': 3.6697247706422022e-06, 'epoch': 0.02}
